"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.754770591269380E9,"2025-08-09 22:16:31.269 UTC+02:00"
"PAUSE",4.000759241665946E1,1.754770631277143E9,"2025-08-09 22:17:11.277 UTC+02:00"
