"time","y_cog","x_cog"
0.007691333332,-82.232707,5.45253140058824
0.01769933334,-82.1126055882353,5.22646596941176
0.02770733333,-82.0552051176471,4.99430108352941
0.03771533334,-82.0574016470588,4.85728085352941
0.04772333332,-82.0785248823529,4.80778417705882
0.05773233334,-82.1030219411765,4.80657696294118
0.06774033332,-82.1174162352941,4.82450466588235
0.07774833334,-82.113585,4.83413074764706
0.08775633332,-82.0930036470588,4.82498344529412
0.09776433333,-82.0631084117647,4.80158694235294
0.1077723333,-82.0214954705882,4.76806941470588
0.1177803333,-81.964978,4.72179327411765
0.1277883333,-81.9020491176471,4.65573570294118
0.1377963333,-81.8475792352941,4.56500093117647
0.1478043333,-81.8038149411765,4.46662543058824
0.1578123333,-81.7643272941176,4.37817304882353
0.1678213333,-81.7287675882353,4.30806461235294
0.1778293333,-81.6992517647059,4.25647619941176
0.1878373333,-81.6770315882353,4.22952794529412
0.1978453333,-81.6634251176471,4.22402137529412
0.2078533333,-81.6571441764706,4.23357988117647
0.217861625,-81.6520562941176,4.24906079294118
0.227869625,-81.6445899411765,4.25921447294118
0.237877625,-81.6351637647059,4.25770678411765
0.247885625,-81.6246632352941,4.24932513470588
0.257893625,-81.6105049411765,4.22924380117647
0.267902625,-81.5918834705882,4.19493953882353
0.277910625,-81.5666445294118,4.15306638470588
0.287918625,-81.5360018235294,4.10270302117647
0.297926625,-81.5053121764706,4.03836525176471
0.307934625,-81.4803728823529,3.97514349529412
0.317942625,-81.4652657647059,3.92923692176471
0.327950625,-81.4586728823529,3.90435053176471
0.337958625,-81.454816,3.89946177588235
0.347966625,-81.4539352352941,3.90975574294118
0.357974625,-81.4535360588235,3.93057722470588
0.367982625,-81.4558530588235,3.95027061470588
0.377991625,-81.4646517647059,3.96218908647059
0.387999625,-81.4782021176471,3.98383052235294
0.398007625,-81.4949774117647,4.02304210411765
0.408015625,-81.5154665882353,4.06091716176471
0.418023625,-81.5386912941177,4.08712634882353
0.428031625,-81.5603383529412,4.10469504647059
0.438039625,-81.5762829411765,4.11158921411765
0.448047625,-81.589836,4.10477004117647
0.458055625,-81.6000819411765,4.08990922705882
0.468063625,-81.6078092941177,4.07446208882353
0.478072625,-81.6140311764706,4.07089766117647
0.488080625,-81.6187445882353,4.08205764117647
0.498088625,-81.6256232352941,4.10567347117647
0.508096625,-81.635785,4.13518749176471
0.518104625,-81.6470042352941,4.16311533411765
0.528112625,-81.6579011176471,4.18662829352941
0.538120625,-81.6654167647059,4.20218518176471
0.548128625,-81.6682297058824,4.21038160882353
0.558136625,-81.667191,4.21363485588235
0.568144625,-81.6577104705882,4.21328983117647
0.578153625,-81.6425258235294,4.20290717058824
0.588161625,-81.6227475294118,4.18444131294118
0.598169625,-81.5977049411765,4.16555743823529
0.608177625,-81.5683108235294,4.15809199764706
0.618185625,-81.5402109411765,4.16213924294118
0.628193625,-81.5217511764706,4.17758111176471
0.638201625,-81.5157881764706,4.19875967823529
0.648209625,-81.5196726470588,4.21908608176471
0.658217625,-81.5320511176471,4.23069262176471
0.668225625,-81.5440541176471,4.22596453823529
0.678234625,-81.5480838235294,4.21394733941177
0.688242625,-81.5473162352941,4.20520080235294
0.698250625,-81.5462735882353,4.19954882823529
0.708258625,-81.5453074117647,4.20108479235294
0.718266625,-81.5455154705882,4.21058486588235
0.728274625,-81.5518315294118,4.22415406470588
0.738282625,-81.5634463529412,4.2302959
0.748290625,-81.5790542941177,4.22107452941176
0.758298625,-81.5916072352941,4.19278889117647
0.768306625,-81.5978637058823,4.14921809235294
0.778315625,-81.5959151764706,4.10340365
0.788323625,-81.590325,4.06190801823529
0.798331625,-81.5887174705882,4.03220573529412
0.808339625,-81.5929122941176,4.02311884882353
0.818347625,-81.6009301176471,4.03494056529412
0.828355625,-81.6074625882353,4.05350508647059
0.838363625,-81.6111382941177,4.07145629235294
0.848371625,-81.6129071176471,4.08662580941176
0.858379625,-81.6170339411765,4.09704367764706
0.868387625,-81.6241217647059,4.10601013941176
0.878396625,-81.6340964117647,4.11191297823529
0.888404625,-81.6482966470588,4.10902969470588
0.898412625,-81.6609506470588,4.09865411823529
0.908420625,-81.6666289411765,4.08587981235294
0.918428625,-81.668632,4.07258685705882
0.928436625,-81.6698212352941,4.06128262823529
0.938444625,-81.67,4.06571960705882
0.948452625,-81.6701391176471,4.08652037411765
0.958460625,-81.669476,4.11685054588235
0.968468625,-81.6670858235294,4.14972355647059
0.978477625,-81.6636589411765,4.17602470882353
0.988485625,-81.6610059411765,4.19100344529412
0.998493625,-81.6565209411765,4.19660018764706
1.008501625,-81.6493317647059,4.19296070941177
1.018509625,-81.6409294705882,4.18228296
1.028517625,-81.6344437058823,4.16920055
1.038525625,-81.6288956470588,4.15181418529412
1.048533625,-81.6216881764706,4.13340976588235
1.058541625,-81.6121492941176,4.12043138235294
1.068549625,-81.6031445882353,4.11403894294118
1.078558625,-81.599855,4.11801873058824
1.088566625,-81.6023867058823,4.12948155411765
1.098574625,-81.6076214117647,4.14378779176471
1.108582625,-81.6115748235294,4.16244300705882
1.118590625,-81.6136544117647,4.17947410647059
1.128598625,-81.6109785294118,4.19092175941176
1.138606625,-81.6096158823529,4.20022675
1.148614625,-81.6111827647059,4.21005579647059
1.158622625,-81.6106491764706,4.21620949
1.168631625,-81.6094771764706,4.21843717411765
1.178639625,-81.6084840588235,4.21382193882353
1.188647625,-81.6060768235294,4.20073697823529
1.198655625,-81.6023776470588,4.18559284
1.208663625,-81.5993383529412,4.17974712647059
1.218671208,-81.5964924117647,4.18635329764706
1.228679208,-81.5966905882353,4.20010781470588
1.238687208,-81.5996307058824,4.21497709235294
1.248695208,-81.6013292941176,4.22888318411765
1.258703208,-81.5997317058823,4.23851928823529
1.268712208,-81.5995512352941,4.24201210235294
1.278720208,-81.6036359411765,4.24701718823529
1.288728208,-81.6101253529412,4.25355647352941
1.298736208,-81.6165153529412,4.25681846529412
1.308744208,-81.6223552941177,4.26026205
1.318752208,-81.6285528235294,4.26430531411765
1.328760208,-81.6329574705882,4.26974275529412
1.338768208,-81.6350475294118,4.27609334588235
1.348776208,-81.6363618235294,4.27998434823529
1.358784208,-81.6375426470588,4.27706659764706
1.368793208,-81.6395623529412,4.27151252294118
1.378801208,-81.6413482352941,4.26417927
1.388809208,-81.6428137058823,4.25554615647059
1.398817208,-81.6428773529412,4.24845708470588
1.408825208,-81.6418308823529,4.24289306235294
1.418833208,-81.6407199411765,4.23624397647059
1.428841208,-81.6393497647059,4.22391474941176
1.438849208,-81.6401990588235,4.21227923
1.448857208,-81.6436547647059,4.21036857
1.458865208,-81.6493848235294,4.22276040117647
1.468874208,-81.6519558235294,4.24527312764706
1.478882208,-81.6528802941177,4.27014744705882
1.488890208,-81.6555700588235,4.29027953
1.498898208,-81.6573489411765,4.30169824823529
1.508906208,-81.6588146470588,4.29736851529412
1.518914208,-81.6619232352941,4.28332520470588
1.528922208,-81.6702107647059,4.26267864352941
1.538930208,-81.6806014117647,4.23829999647059
1.548938208,-81.6862779411765,4.21699603882353
1.558946208,-81.684645,4.20176507647059
1.568955208,-81.6751088235294,4.19034591117647
1.578963208,-81.6612242941176,4.18618445176471
1.588971208,-81.6446991176471,4.18654509764706
1.598979208,-81.6322836470588,4.18659396941176
1.608987208,-81.6287670588235,4.18213029352941
1.618995208,-81.6312422352941,4.17283591588235
1.629003208,-81.6363608235294,4.15231435882353
1.639011208,-81.6415048235294,4.11750792823529
1.649019208,-81.6441262941176,4.07646039
1.659027208,-81.6481518235294,4.03639603352941
1.669036208,-81.6525237058823,4.00551383411765
1.679044208,-81.6576454705882,3.98728463588235
1.689052208,-81.6630933529412,3.98451846411765
1.699060208,-81.6623694705882,3.99394037764706
1.709068208,-81.6551261764706,4.00315416470588
1.719076208,-81.6462754705882,4.00831603764706
1.729084208,-81.635694117647,4.01339199705882
1.739092208,-81.6251715294118,4.01705505941176
1.749100208,-81.6189197058823,4.01765709058824
1.759108208,-81.6178576470588,4.01302455823529
1.769117208,-81.6222374705882,3.99991028941176
1.779125208,-81.6304087058824,3.98322944764706
1.789133208,-81.638559117647,3.96689642588235
1.799141208,-81.6442008235294,3.95848221882353
1.809149208,-81.6450887647059,3.96142118411765
1.819157208,-81.644069882353,3.97815532058824
1.829165208,-81.6425035882353,4.00478067882353
1.839173208,-81.6385897647059,4.03297964235294
1.849181208,-81.6350297647059,4.05457491176471
1.859189208,-81.6349895294118,4.06534683764706
1.869198208,-81.6345406470588,4.07268615823529
1.879206208,-81.6307708823529,4.07537572352941
1.889214208,-81.6223187058823,4.07137981823529
1.899222208,-81.6159302941176,4.05917097176471
1.909230208,-81.612482117647,4.04810224588235
1.919238208,-81.6109735882353,4.04196551117647
1.929246208,-81.6101875294118,4.03576202235294
1.939254208,-81.6123901176471,4.03632667823529
1.949262208,-81.6199641176471,4.04459812647059
1.959270208,-81.6343747647059,4.05504586529412
1.969279208,-81.6516662352941,4.06405609647059
1.979287208,-81.6675276470588,4.07206427882353
1.989295208,-81.6789420588235,4.07930089764706
1.999303208,-81.6837302352941,4.07964813882353
2.009311208,-81.6851897058824,4.07713650588235
2.019319208,-81.6821604705882,4.07295377823529
2.029327208,-81.6776636470588,4.06901397588235
2.039335208,-81.6725251176471,4.06581558176471
2.049343208,-81.6692642941177,4.06283571058824
2.059351208,-81.6706308823529,4.06351117529412
2.069360208,-81.6769998235294,4.07168121823529
2.079368208,-81.6907677647059,4.08562592235294
2.089376208,-81.7073290588235,4.10074154941177
2.099384208,-81.7219375294118,4.11476200058824
2.109392208,-81.7344405882353,4.12468889764706
2.119400208,-81.7428277647059,4.13226580117647
2.129408208,-81.7485798235294,4.13984523823529
2.139416208,-81.7516483529412,4.14832999470588
2.149424208,-81.7523329411765,4.15661418470588
2.159432208,-81.7550798823529,4.16181780764706
