"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.754770713842286E9,"2025-08-09 22:18:33.842 UTC+02:00"
"PAUSE",4.000813770832610E1,1.754770753850568E9,"2025-08-09 22:19:13.851 UTC+02:00"
